Station ID,Name,Latitude,Longitude,Number of Bikes Available
hub_631,Hunter GO Centre,43.25343546641674,-79.86948698759079,6
hub_707,McMaster Student Centre,43.26274333966465,-79.91714715957642,1
hub_708,York at Macnab,43.25901059433612,-79.86919194459914,7
hub_709,Park at Robinson,43.2515957745917,-79.8749090863127,5
hub_712,West at Cannon,43.257877862291,-79.8561337635964,3
hub_765,Princess Point,43.2729912871819,-79.8945270389426,13
hub_778,Aberdeen at Studholme,43.2526283084979,-79.899692892407,12
hub_779,Hunter at Park,43.2543192007999,-79.8733946157064,3
hub_780,John at Main,43.254529435061336,-79.86718028783798,11
hub_802,Hess at king,43.259125842121065,-79.87721174955368,2
hub_830,Rifle Range at Rail Trail,43.2554850097816,-79.9298771288198,7
hub_866,Augusta at John,43.251632328780424,-79.86898005008698,4
