Station ID,Name,Category,LatitudeB,LongitudeB,Rating
hub_543,OneZo Tapioca,['Bubble Tea'],43.26134456,-79.90691151,4
hub_543,Rawlicious,['Vegan'],43.26175839,-79.90667682,4
hub_543,The Express Italian Eatery,['Italian'],43.2617268,-79.9065688,4
hub_544,Weil's of Westdale Bakery,['Bakeries'],43.2623,-79.9042599,4
hub_544,Dragon Court,['Chinese'],43.26264,-79.90469,2.5
hub_544,Second Cup,['Coffee & Tea'],43.2624094,-79.9049837,4
hub_544,Nannaa,['Persian/Iranian'],43.26236148,-79.90547653,3.5
hub_544,Mikel Coffee,"['Cafes', 'Bakeries']",43.262429,-79.905462,5
hub_544,Delirious Burger,"['Canadian (New)', 'Burgers']",43.26243,-79.90546,4.5
hub_544,Pizzaiolo,['Pizza'],43.26181385,-79.90512133,4
hub_544,The Snooty Fox,['Pubs'],43.2617199,-79.90518,3
hub_544,Pizza Nova,['Pizza'],43.2622078,-79.9058477,2.5
hub_544,Bean Bar,"['Comfort Food', 'Burgers', 'Sandwiches']",43.2622848,-79.90572986,3.5
hub_545,West End Pub,['Pubs'],43.25308,-79.92149,3
hub_545,Emerson Pub,['Pubs'],43.2542874,-79.921105,2.5
hub_545,Dough Box,"['Pizza', 'Italian']",43.2574167,-79.9239487,4
hub_545,Noodle Bar,"['Sushi Bars', 'Imported Food']",43.25544173,-79.92870029,2.5
hub_545,Tally Ho,"['Burgers', 'Fast Food', 'Sandwiches']",43.2577726,-79.9240784,4
hub_545,Maple Leaf Pancake House,['Breakfast & Brunch'],43.25788,-79.92354,2.5
hub_545,Gino's Pizza,['Pizza'],43.25726697,-79.91831474,2.5
hub_545,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2
hub_545,Pinks,['Burgers'],43.25750562,-79.91884597,4
hub_545,Subway,"['Sandwiches', 'Fast Food']",43.25743,-79.91877,2.5
hub_546,Emerson Pub,['Pubs'],43.2542874,-79.921105,2.5
hub_546,West End Pub,['Pubs'],43.25308,-79.92149,3
hub_546,Gino's Pizza,['Pizza'],43.25726697,-79.91831474,2.5
hub_546,Pinks,['Burgers'],43.25750562,-79.91884597,4
hub_546,Subway,"['Sandwiches', 'Fast Food']",43.25743,-79.91877,2.5
hub_546,Taco Del Mar,"['Mexican', 'Tex-Mex', 'Fast Food']",43.25743,-79.91877,3.5
hub_546,Quik Chik,"['Fast Food', 'Chicken Shop']",43.25743,-79.91877,1.5
hub_546,Starbucks,['Coffee & Tea'],43.2574081,-79.9193726,3.5
hub_546,Yogurty's Froyo,"['Ice Cream & Frozen Yogurt', 'Desserts']",43.25724978,-79.91808908,3.5
hub_546,The Arch Noodle House,['Noodles'],43.25738,-79.9180499,3.5
hub_547,Pizzaiolo,['Pizza'],43.26181385,-79.90512133,4
hub_547,The Snooty Fox,['Pubs'],43.2617199,-79.90518,3
hub_547,Nannaa,['Persian/Iranian'],43.26236148,-79.90547653,3.5
hub_547,Second Cup,['Coffee & Tea'],43.2624094,-79.9049837,4
hub_547,Pizza Nova,['Pizza'],43.2622078,-79.9058477,2.5
hub_547,Bean Bar,"['Comfort Food', 'Burgers', 'Sandwiches']",43.2622848,-79.90572986,3.5
hub_547,The Burnt Tongue,"['Soup', 'Sandwiches', 'Salad']",43.26163,-79.90551,4.5
hub_547,Mikel Coffee,"['Cafes', 'Bakeries']",43.262429,-79.905462,5
hub_547,Delirious Burger,"['Canadian (New)', 'Burgers']",43.26243,-79.90546,4.5
hub_547,Paisley,['Coffee & Tea'],43.26225981,-79.90587037,3.5
hub_548,Emerson Pub,['Pubs'],43.2542874,-79.921105,2.5
hub_548,West End Pub,['Pubs'],43.25308,-79.92149,3
hub_548,Prime Pita,"['Lebanese', 'Mediterranean']",43.25725548,-79.91791461,4.5
